Orthogroup	c_briggsae.AF16.prot	c_briggsae.QX1410.prot	c_elegans.prot	c_nigoni.prot
OG0001706	Transcript_CBG02240a.1, Transcript_CBG02240b.1	transcript_QX1410.6640.1, transcript_QX1410.6640.2	Transcript_F59C6.14a.1, Transcript_F59C6.14b.1	Cnig_chr_I.g2070.1, Cnig_chr_I.g2070.2, Cnig_chr_I.g2070.3
OG0001707	Transcript_CBG02201a.1, Transcript_CBG02201a.2, Transcript_CBG02201b.1, Transcript_CBG02201b.2	transcript_QX1410.6604.1, transcript_QX1410.6604.2	Transcript_F25D7.3a.1, Transcript_F25D7.3b.1	Cni-blmp-1
OG0001708	Transcript_CBG00739.1, Transcript_CBG12206.1	transcript_QX1410.18812.2, transcript_QX1410.18824.1, transcript_QX1410.19702.2, transcript_QX1410.3722.2, transcript_QX1410.3722.3, transcript_QX1410.6547.3, transcript_QX1410.8590.1		
OG0001709	Transcript_CBG12452.1	transcript_QX1410.6684.1, transcript_QX1410.6684.2, transcript_QX1410.6684.3, transcript_QX1410.6684.4	Transcript_ZK858.5.1	Cni-ZK858.5.1, Cni-ZK858.5.2, Cni-ZK858.5.3
OG0001710	Transcript_CBG29855.1	transcript_QX1410.13344.1, transcript_QX1410.13901.3, transcript_QX1410.18916.1, transcript_QX1410.21585.1, transcript_QX1410.4445.1, transcript_QX1410.6713.1, transcript_QX1410.6713.2, transcript_QX1410.8931.1		
OG0001711	Transcript_CBG12397a.1, Transcript_CBG12397b.1	transcript_QX1410.6737.1, transcript_QX1410.6737.2, transcript_QX1410.6737.3	Transcript_F53B6.4a.1, Transcript_F53B6.4b.1	Cni-F53B6.4.1, Cni-F53B6.4.2
OG0001712	Transcript_CBG12382a.1, Transcript_CBG12382b.1	transcript_QX1410.6752.1, transcript_QX1410.6752.2		Cni-ztf-26.1, Cni-ztf-26.2, Cni-ztf-26.3, Cnig_chr_I.g2190.1, Cnig_chr_I.g2190.2
OG0001713	Transcript_CBG12372a.1, Transcript_CBG12372b.1	transcript_QX1410.6762.1, transcript_QX1410.6762.2, transcript_QX1410.6762.3, transcript_QX1410.6762.4, transcript_QX1410.6762.5, transcript_QX1410.6762.6		Cni-cids-2
OG0001714	Transcript_CBG12339a.1, Transcript_CBG12339b.1	transcript_QX1410.6796.1, transcript_QX1410.6796.2	Transcript_K07A12.4a.1, Transcript_K07A12.4a.2, Transcript_K07A12.4b.1	Cni-K07A12.4.1, Cni-K07A12.4.2
OG0001715	Transcript_CBG12564a.1, Transcript_CBG12564b.1	transcript_QX1410.6926.1, transcript_QX1410.6926.2	Transcript_T08B2.9a.1, Transcript_T08B2.9b.1, Transcript_T08B2.9b.2, Transcript_T08B2.9b.3	Cni-fars-1
OG0001716	Transcript_CBG12574.1, Transcript_CBG27395.1	transcript_QX1410.14787.1, transcript_QX1410.6935.1, transcript_QX1410.6935.2	Transcript_D1005.3.1	Cnig_chr_I.g2399, Cnig_chr_X.g22170.1, Cnig_chr_X.g22170.2
OG0001717	Transcript_CBG12581.1	transcript_QX1410.6942.1, transcript_QX1410.6942.2, transcript_QX1410.6942.3	Transcript_C10G11.7a.1, Transcript_C10G11.7a.2, Transcript_C10G11.7a.3	Cni-chdp-1.1, Cni-chdp-1.2
OG0001718	Transcript_CBG12586.1	transcript_QX1410.6947.1	Transcript_F42G8.8.1, Transcript_F49E11.7.1, Transcript_F49E11.7.2	Cnig_chr_I.g2415.1, Cnig_chr_I.g2415.2, Cnig_chr_I.g2415.3, Cnig_chr_I.g2415.4
OG0001719	Transcript_CBG12599a.1, Transcript_CBG12599b.1	transcript_QX1410.6956.1, transcript_QX1410.6956.2	Transcript_K04F10.3a.1, Transcript_K04F10.3b.1	Cni-K04F10.3.1, Cni-K04F10.3.2, Cni-K04F10.3.3
OG0001720	Transcript_CBG12638.1	transcript_QX1410.6986.1	Transcript_K06A5.8a.1, Transcript_K06A5.8b.1, Transcript_K06A5.8b.2, Transcript_K06A5.8d.1, Transcript_K06A5.8d.2	Cni-nmtn-1.1, Cni-nmtn-1.2
OG0001721	Transcript_CBG12675.1	transcript_QX1410.7019.1, transcript_QX1410.7019.2, transcript_QX1410.7021.1	Transcript_C41G7.2.1, Transcript_M01E11.6.1	Cnig_chr_I.g2299.1, Cnig_chr_I.g2299.2, Cnig_chr_I.g2501
OG0001722	Transcript_CBG12701.1, Transcript_CBG12702a.1, Transcript_CBG12702b.1, Transcript_CBG12702c.1	transcript_QX1410.7044.1, transcript_QX1410.7044.2	Transcript_T23B3.4.1	Cni-ckr-1.1, Cni-ckr-1.2
OG0001723	Transcript_CBG12739.1	transcript_QX1410.7058.1, transcript_QX1410.7082.1	Transcript_M04G7.2a.1, Transcript_M04G7.2b.1, Transcript_ZK616.65a.1, Transcript_ZK616.65b.1	Cnig_chr_I.g2532, Cnig_chr_I.g2562
OG0001724	Transcript_CBG12875.1	transcript_QX1410.7202.1, transcript_QX1410.7202.2, transcript_QX1410.7202.3, transcript_QX1410.7202.4, transcript_QX1410.7202.5, transcript_QX1410.7202.6	Transcript_T21G5.3.1	Cnig_chr_I.g2717
OG0001725	Transcript_CBG20286.1	transcript_QX1410.7239.1, transcript_QX1410.7239.2	Transcript_T27A3.1a.1, Transcript_T27A3.1c.1, Transcript_T27A3.1d.1	Cni-trak-1.1, Cni-trak-1.2, Cni-trak-1.3
OG0001726	Transcript_CBG20244.1	transcript_QX1410.7278.1, transcript_QX1410.7278.2, transcript_QX1410.7278.3	Transcript_ZK484.4.1	Cni-ZK484.4.1, Cni-ZK484.4.2, Cni-ZK484.4.3, Cni-ZK484.4.4
OG0001727	Transcript_CBG08506b.1	transcript_QX1410.7295.1	Transcript_K12C11.4c.1	Cnig_chr_I.g2817, Cnig_chr_I.g2818.1, Cnig_chr_I.g2818.2, Cnig_chr_I.g2818.3, Cnig_chr_I.g2823.1, Cnig_chr_I.g2823.2
OG0001728	Transcript_CBG08473a.1, Transcript_CBG08473b.1	transcript_QX1410.7319.1, transcript_QX1410.7319.2, transcript_QX1410.7319.3, transcript_QX1410.7319.4	Transcript_C35E7.6.1	Cni-C35E7.6.1, Cni-C35E7.6.2
OG0001729	Transcript_CBG08446.1	transcript_QX1410.7346.1	Transcript_F47F6.5.1	Cnig_chr_I.g2967.1, Cnig_chr_I.g2967.2, Cnig_chr_I.g2967.3, Cnig_chr_I.g2968.1, Cnig_chr_I.g2968.2, Cnig_chr_I.g2968.3
OG0001730	Transcript_CBG13608.1, Transcript_CBG13609.1	transcript_QX1410.7377.1	Transcript_F35E2.9.1, Transcript_Y47H9B.2.1	Cnig_chr_I.g3013, Cnig_chr_I.g3017.1, Cnig_chr_I.g3017.2, Cnig_chr_I.g3017.3
OG0001731	Transcript_CBG13637a.1, Transcript_CBG13637a.2, Transcript_CBG13637b.1, Transcript_CBG13637b.2	transcript_QX1410.7404.1	Transcript_Y6B3B.7.1, Transcript_Y6B3B.7.2	Cni-Y6B3B.7.1, Cni-Y6B3B.7.2
OG0001732	Transcript_CBG18704a.1, Transcript_CBG18704b.1	transcript_QX1410.7416.1, transcript_QX1410.7416.2, transcript_QX1410.7416.3	Transcript_Y53C10A.6a.1, Transcript_Y53C10A.6b.1	Cni-Y53C10A.6.1, Cni-Y53C10A.6.2
OG0001733	Transcript_CBG18681.1			Cnig_chr_I.g3115.1, Cnig_chr_I.g3115.2, Cnig_chr_I.g3115.3, Cnig_chr_I.g3118, Cnig_chr_I.g3119, Cnig_chr_I.g3120.1, Cnig_chr_I.g3120.2, Cnig_chr_I.g3120.3
OG0001734	Transcript_CBG29885.1	transcript_QX1410.7470.1		Cnig_chr_I.g3165, Cnig_chr_I.g3191.1, Cnig_chr_I.g3191.2, nigoni.pc_2016.07.11_008.g27162.1, nigoni.pc_2016.07.11_008.g27162.2, nigoni.pc_2016.07.11_008.g27162.3, nigoni.pc_2016.07.11_008.g27162.4
OG0001735	Transcript_CBG20339.1, Transcript_CBG20343.1	transcript_QX1410.7483.1, transcript_QX1410.7483.2, transcript_QX1410.7488.1, transcript_QX1410.7488.2	Transcript_F56F11.4a.1, Transcript_F56F11.4a.2, Transcript_F56F11.4b.1	
OG0001736	Transcript_CBG18809.1, Transcript_CBG18810.1	transcript_QX1410.7634.1, transcript_QX1410.7635.1	Transcript_F47C12.4.1, Transcript_Y46C8AL.1.1	Cnig_chr_I.g3265.1, Cnig_chr_I.g3265.2, Cnig_chr_I.g3266
OG0001737	Transcript_CBG18825.1	transcript_QX1410.7624.1	Transcript_K03D10.3a.1, Transcript_K03D10.3b.1, Transcript_K03D10.3c.1, Transcript_K03D10.3d.1	Cni-mys-2.1, Cni-mys-2.2, Cni-mys-2.3
OG0001738	Transcript_CBG15845a.1, Transcript_CBG15845b.1	transcript_QX1410.7703.1, transcript_QX1410.7703.2, transcript_QX1410.7703.3	Transcript_Y47H9C.4a.1, Transcript_Y47H9C.4b.1, Transcript_Y47H9C.4c.1	Cni-ced-1
OG0001739	Transcript_CBG15804a.1, Transcript_CBG15804b.1	transcript_QX1410.7747.1, transcript_QX1410.7747.2	Transcript_T22H2.5a.1, Transcript_T22H2.5a.2, Transcript_T22H2.5b.1, Transcript_T22H2.5c.1	Cnig_chr_I.g3500.2
OG0001740	Transcript_CBG15360.1	transcript_QX1410.7757.1	Transcript_C54E10.4.1, Transcript_T06E6.4.1, Transcript_T09E8.5a.1, Transcript_T22H2.1.1, Transcript_T22H2.3.1, Transcript_Y102A5C.29.1	Cnig_chr_I.g3514
OG0001741	Transcript_CBG07971a.1, Transcript_CBG07971b.1	transcript_QX1410.7845.1, transcript_QX1410.7845.2	Transcript_Y18D10A.6a.1, Transcript_Y18D10A.6b.1	Cni-nhx-8.1, Cni-nhx-8.2, Cni-nhx-8.3
OG0001742	Transcript_CBG08037a.1, Transcript_CBG08037b.1	transcript_QX1410.7906.1, transcript_QX1410.7906.2	Transcript_Y87G2A.8a.1, Transcript_Y87G2A.8a.2, Transcript_Y87G2A.8b.1	Cni-gpi-1.1, Cni-gpi-1.2
OG0001743	Transcript_CBG19731.1	transcript_QX1410.7940.1	Transcript_C53A5.4.1, Transcript_K06H7.8.1	Cnig_chr_I.g3803.1, Cnig_chr_I.g3803.2, Cnig_chr_I.g3803.3, Cnig_chr_I.g3808.1, Cnig_chr_I.g3808.2
OG0001744	Transcript_CBG19735.1	transcript_QX1410.7944.1, transcript_QX1410.7944.2, transcript_QX1410.7944.3	Transcript_F31C3.2a.1, Transcript_F31C3.2b.1, Transcript_F31C3.2b.2, Transcript_K05C4.4.1	Cni-F31C3.2
OG0001745	Transcript_CBG08715.1, Transcript_CBG08715.2, Transcript_CBG08715.3, Transcript_CBG08715.4, Transcript_CBG08715.5, Transcript_CBG08715.6	transcript_QX1410.8062.1	Transcript_T26E3.10.1	Cni-T26E3.10
OG0001746	Transcript_CBG08722.1	transcript_QX1410.8055.1	Transcript_K11D2.4a.1, Transcript_K11D2.4a.2, Transcript_K11D2.4b.1, Transcript_K11D2.4c.1, Transcript_K11D2.4d.1, Transcript_K11D2.4e.1	Cni-K11D2.4
OG0001747	Transcript_CBG08749.1	transcript_QX1410.8031.1, transcript_QX1410.8031.2, transcript_QX1410.8031.3	Transcript_Y105E8A.10a.1, Transcript_Y105E8A.10b.1, Transcript_Y105E8A.10c.1, Transcript_Y105E8A.10c.2	Cni-hpo-13
OG0001748	Transcript_CBG01062a.1, Transcript_CBG01062a.2, Transcript_CBG01062b.1	transcript_QX1410.8082.1, transcript_QX1410.8082.2, transcript_QX1410.8082.3	Transcript_ZK1307.1a.1, Transcript_ZK1307.1b.1	Cni-ZK1307.1
OG0001749	Transcript_CBG01057.1	transcript_QX1410.8087.1, transcript_QX1410.8087.2, transcript_QX1410.8087.3, transcript_QX1410.8087.4, transcript_QX1410.8087.5	Transcript_ZK1320.12a.1, Transcript_ZK1320.12b.1	Cni-taf-8
OG0001750	Transcript_CBG01035.1	transcript_QX1410.8110.1, transcript_QX1410.8110.2	Transcript_ZK1321.4a.1, Transcript_ZK1321.4b.1, Transcript_ZK1321.4c.1	Cni-ZK1321.4.1, Cni-ZK1321.4.2, Cni-ZK1321.4.3
OG0001751	Transcript_CBG01007a.1, Transcript_CBG01007b.1	transcript_QX1410.8137.1	Transcript_R53.3a.1, Transcript_R53.3b.1, Transcript_R53.3b.2	Cni-egl-43.1, Cni-egl-43.2, Cni-egl-43.3
OG0001752	Transcript_CBG00997.1, Transcript_CBG30126.1	transcript_QX1410.8148.1, transcript_QX1410.8149.1	Transcript_F26C11.1.1, Transcript_F26C11.1.2	Cnig_chr_II.g4049.1, Cnig_chr_II.g4049.2, Cnig_chr_II.g4049.3
OG0001753	Transcript_CBG00973a.1, Transcript_CBG00973b.1	transcript_QX1410.8173.1, transcript_QX1410.8173.2	Transcript_R53.1a.1, Transcript_R53.1b.1, Transcript_R53.1c.1, Transcript_R53.1d.1	Cni-flad-1
OG0001754	Transcript_CBG20219.1	transcript_QX1410.8299.1, transcript_QX1410.8299.2, transcript_QX1410.8299.3, transcript_QX1410.8299.4	Transcript_T01E8.4.1	Cni-mec-15.1, Cni-mec-15.2, Cni-mec-15.3
OG0001755	Transcript_CBG18722.1, Transcript_CBG18723.1		Transcript_AH6.10.1, Transcript_AH6.11.1, Transcript_AH6.12.1, Transcript_AH6.14.1, Transcript_AH6.6.1, Transcript_AH6.7.1, Transcript_AH6.8.1	
OG0001756	Transcript_CBG23957.1	transcript_QX1410.8371.2, transcript_QX1410.8371.3	Transcript_K07D4.7a.1, Transcript_K07D4.7b.1, Transcript_K07D4.7c.1	Cni-ephx-1.1, Cni-ephx-1.2, Cni-ephx-1.3
OG0001757	Transcript_CBG03677.1	transcript_QX1410.8430.1, transcript_QX1410.8430.2	Transcript_B0286.1.1, Transcript_B0286.1.2	Cnig_chr_II.g4430, Cnig_chr_II.g4432.1, Cnig_chr_II.g4432.2, Cnig_chr_II.g4432.3
OG0001758	Transcript_CBG13488b.1, Transcript_CBG13488c.1, Transcript_CBG13488f.1	transcript_QX1410.8444.1, transcript_QX1410.8444.2	Transcript_T12C9.3a.1, Transcript_T12C9.3d.1, Transcript_T12C9.3f.1	Cnig_chr_II.g4462
OG0001759	Transcript_CBG13484.1	transcript_QX1410.8448.1, transcript_QX1410.8448.2, transcript_QX1410.8448.3, transcript_QX1410.8448.4	Transcript_W06B4.1.1	Cnig_chr_II.g4466.1, Cnig_chr_II.g4466.2, Cnig_chr_V.g19976
OG0001760	Transcript_CBG13429.1	transcript_QX1410.8492.2, transcript_QX1410.8492.3	Transcript_F35D11.11a.1, Transcript_F35D11.11b.1, Transcript_F35D11.11c.1, Transcript_F35D11.11d.1	Cni-che-10.1, Cni-che-10.2
OG0001761	Transcript_CBG13393.1, Transcript_CBG13393.2	transcript_QX1410.8518.1, transcript_QX1410.8518.2, transcript_QX1410.8518.3	Transcript_M176.4.1, Transcript_M176.4.2, Transcript_M176.4.3	Cnig_chr_II.g4567
OG0001762	Transcript_CBG13339.1	transcript_QX1410.8574.1, transcript_QX1410.8574.2	Transcript_T05H10.6a.1, Transcript_T05H10.6a.2, Transcript_T05H10.6a.3, Transcript_T05H10.6b.1	Cni-pdha-1.1, Cni-pdha-1.2
OG0001763	Transcript_CBG13338a.1, Transcript_CBG13338b.1	transcript_QX1410.8575.1, transcript_QX1410.8575.2, transcript_QX1410.8575.3	Transcript_T05H10.7a.1, Transcript_T05H10.7b.1	Cni-gpcp-2.1, Cni-gpcp-2.2
OG0001764	Transcript_CBG00747a.1, Transcript_CBG00747b.1, Transcript_CBG00747b.2	transcript_QX1410.8582.1, transcript_QX1410.8582.2	Transcript_C41C4.7a.1, Transcript_C41C4.7b.1	Cni-ctns-1.1, Cni-ctns-1.2
OG0001765	Transcript_CBG00738.1	transcript_QX1410.8591.1	Transcript_K02C4.3a.1, Transcript_K02C4.3b.1, Transcript_K02C4.3c.1, Transcript_K02C4.3d.1, Transcript_K02C4.3e.1	Cnig_chr_II.g4623, Cnig_chr_II.g4647
OG0001766	Transcript_CBG00511a.1, Transcript_CBG00511b.1	transcript_QX1410.8771.1, transcript_QX1410.8771.2, transcript_QX1410.8771.3, transcript_QX1410.8771.4	Transcript_D2085.4.1	Cnig_chr_II.g4907.1, Cnig_chr_II.g4907.2
OG0001767	Transcript_CBG00527.1	transcript_QX1410.8759.1		Cnig_chr_I.g936, Cnig_chr_II.g4883, Cnig_chr_II.g4884, Cnig_chr_II.g4886.1, Cnig_chr_II.g4886.2, Cnig_chr_II.g4886.3, Cnig_chr_III.g11460.2
OG0001768	Transcript_CBG00550.1	transcript_QX1410.8740.1, transcript_QX1410.8740.2	Transcript_F28C6.4a.1, Transcript_F28C6.4a.2, Transcript_F28C6.4a.3, Transcript_F28C6.4b.1	Cni-F28C6.4.1, Cni-F28C6.4.2
OG0001769	Transcript_CBG00574a.1, Transcript_CBG00574b.1	transcript_QX1410.8722.1, transcript_QX1410.8722.2, transcript_QX1410.8722.3	Transcript_W01C9.3a.1, Transcript_W01C9.3b.1	Cni-pqn-73.1, Cni-pqn-73.2
OG0001770	Transcript_CBG11088.1	transcript_QX1410.8811.1, transcript_QX1410.8811.2, transcript_QX1410.8811.3	Transcript_R06A4.10a.1, Transcript_R06A4.10b.1, Transcript_R06A4.10c.1	Cni-acr-20.1, Cni-acr-20.2
OG0001771	Transcript_CBG30012.1	transcript_QX1410.10662.3, transcript_QX1410.8801.1	Transcript_Y49F6C.2.1	Cnig_chr_I.g2822, Cnig_chr_II.g6916, Cnig_chr_II.g7090, Cnig_chr_II.g7730.1, Cnig_chr_II.g7730.2
OG0001772	Transcript_CBG25513.1, Transcript_CBG25533.1	transcript_QX1410.8852.1, transcript_QX1410.8852.2, transcript_QX1410.8952.1		Cnig_chr_II.g5049.1, Cnig_chr_II.g5049.2, Cnig_chr_II.g5049.3, Cnig_chr_II.g5049.4
OG0001773	Transcript_CBG11199a.1, Transcript_CBG11199b.1	transcript_QX1410.9028.1, transcript_QX1410.9028.2, transcript_QX1410.9028.3, transcript_QX1410.9028.4	Transcript_C15F1.1a.1, Transcript_C15F1.1b.1	Cni-C15F1.1.1
OG0001774	Transcript_CBG13072.1	transcript_QX1410.9060.1	Transcript_F10E7.11.1, Transcript_F10E7.11.2, Transcript_F10E7.11.3, Transcript_F10E7.11.4, Transcript_T07F8.4.1	Cnig_chr_II.g5275.1, Cnig_chr_II.g5275.2
OG0001775	Transcript_CBG13003a.1, Transcript_CBG13003b.1	transcript_QX1410.9183.1, transcript_QX1410.9183.2, transcript_QX1410.9183.3	Transcript_F35D2.5a.1, Transcript_F35D2.5c.1, Transcript_F35D2.5c.2	Cni-syd-1
OG0001776	Transcript_CBG03298.1, Transcript_CBG03298.2, Transcript_CBG03298.3, Transcript_CBG03298.4, Transcript_CBG03298.5, Transcript_CBG03298.6	transcript_QX1410.9246.1	Transcript_T01H3.1.1	Cni-vha-4
OG0001777	Transcript_CBG03235.1	transcript_QX1410.9285.1, transcript_QX1410.9285.2, transcript_QX1410.9285.3, transcript_QX1410.9285.4, transcript_QX1410.9285.5	Transcript_F44G4.4a.1, Transcript_F44G4.4c.1	Cni-tdp-1
OG0001778	Transcript_CBG03223.1	transcript_QX1410.9297.1, transcript_QX1410.9297.2, transcript_QX1410.9297.3, transcript_QX1410.9297.4, transcript_QX1410.9297.5		Cni-szy-20.1, Cni-szy-20.2, Cni-szy-20.3
OG0001779	Transcript_CBG03160a.1, Transcript_CBG03160b.1	transcript_QX1410.9348.1, transcript_QX1410.9348.2, transcript_QX1410.9348.3, transcript_QX1410.9348.4	Transcript_T01B7.5a.1, Transcript_T01B7.5a.2	Cni-T01B7.5
OG0001780	Transcript_CBG03144.1	transcript_QX1410.9362.1, transcript_QX1410.9362.2	Transcript_C47D12.6a.1, Transcript_C47D12.6b.1, Transcript_C47D12.6b.2	Cni-tars-1.1, Cni-tars-1.2, Cni-tars-1.3
OG0001781	Transcript_CBG31360.1	transcript_QX1410.9405.1, transcript_QX1410.9405.2	Transcript_ZK673.11a.1, Transcript_ZK673.11b.1, Transcript_ZK673.11c.1	Cni-ZK673.11.1, Cni-ZK673.11.2, Cni-ZK673.11.3
OG0001782	Transcript_CBG03046.1	transcript_QX1410.9459.1, transcript_QX1410.9459.2, transcript_QX1410.9459.3, transcript_QX1410.9459.4	Transcript_M28.8.1	Cnig_chr_II.g5715.1, Cnig_chr_II.g5715.2, Cnig_chr_II.g5715.3
OG0001783	Transcript_CBG03012a.1, Transcript_CBG03012b.1	transcript_QX1410.9490.1, transcript_QX1410.9490.2, transcript_QX1410.9490.3	Transcript_T19E10.1a.1, Transcript_T19E10.1a.2, Transcript_T19E10.1b.1	Cni-ect-2
OG0001784	Transcript_CBG02994a.1, Transcript_CBG02994c.1	transcript_QX1410.9506.2	Transcript_C09D8.1b.1, Transcript_C09D8.1c.1, Transcript_C09D8.1g.1, Transcript_C09D8.1h.1	Cnig_chr_II.g5780.1, Cnig_chr_II.g5780.2
OG0001785	Transcript_CBG02939.1	transcript_QX1410.9557.1, transcript_QX1410.9557.2	Transcript_T05B9.2a.1, Transcript_T05B9.2a.2, Transcript_T05B9.2b.1, Transcript_T05B9.2c.1, Transcript_T05B9.2d.1	Cni-T05B9.2
OG0001786	Transcript_CBG30154.1	transcript_QX1410.9613.1, transcript_QX1410.9613.12, transcript_QX1410.9613.4, transcript_QX1410.9613.8, transcript_QX1410.9613.9	Transcript_F22F7.11.1, Transcript_W02B12.12a.1, Transcript_W02B12.12b.1	
OG0001787	Transcript_CBG02847.1	transcript_QX1410.9647.1, transcript_QX1410.9647.2	Transcript_F07A11.4a.1, Transcript_F07A11.4a.2, Transcript_F07A11.4b.1	Cni-F07A11.4.1, Cni-F07A11.4.2, Cnig_chr_I.g1240
OG0001788	Transcript_CBG02812a.1, Transcript_CBG02812b.1	transcript_QX1410.9678.1, transcript_QX1410.9678.2	Transcript_W09H1.1a.1, Transcript_W09H1.1b.1	Cni-W09H1.1.1, Cni-W09H1.1.2, Cni-W09H1.1.3
OG0001789	Transcript_CBG02801a.1, Transcript_CBG02801b.1	transcript_QX1410.9689.1, transcript_QX1410.9689.3, transcript_QX1410.9689.4	Transcript_Y38F1A.10a.1, Transcript_Y38F1A.10c.1, Transcript_Y38F1A.10e.1, Transcript_Y38F1A.10f.1	
OG0001790	Transcript_CBG06846.1, Transcript_CBG30221.1, Transcript_CBG31517.1	transcript_QX1410.13216.1, transcript_QX1410.13840.1	Transcript_Y52E8A.2.1	Cnig_chr_III.g9108, Cnig_chr_III.g9124, Cnig_chr_III.g9127
OG0001791	Transcript_CBG02756.1	transcript_QX1410.9738.1, transcript_QX1410.9738.2	Transcript_F58G1.2a.1, Transcript_F58G1.2a.2, Transcript_F58G1.2a.3, Transcript_F58G1.2a.4, Transcript_F58G1.2b.1	Cni-F58G1.2
OG0001792	Transcript_CBG02744a.1, Transcript_CBG02744b.1	transcript_QX1410.9748.1, transcript_QX1410.9748.3, transcript_QX1410.9748.4	Transcript_K12D12.2.1	Cni-npp-3.1, Cni-npp-3.2, Cni-npp-3.3
OG0001793	Transcript_CBG02659b.1, Transcript_CBG02659c.1	transcript_QX1410.9830.1, transcript_QX1410.9830.2, transcript_QX1410.9830.3	Transcript_K06A1.6a.1, Transcript_K06A1.6b.1, Transcript_K06A1.6c.1, Transcript_K06A1.6d.1	
OG0001794	Transcript_CBG02640a.1, Transcript_CBG02640b.1	transcript_QX1410.9842.1, transcript_QX1410.9842.2	Transcript_K10B2.1a.1, Transcript_K10B2.1b.1, Transcript_K10B2.1c.1, Transcript_K10B2.1d.1	Cni-lin-23
OG0001795	Transcript_CBG02557.1, Transcript_CBG07123.1	transcript_QX1410.11387.1, transcript_QX1410.9918.2, transcript_QX1410.9918.3, transcript_QX1410.9918.4	Transcript_ZK84.7.1	Cnig_chr_II.g6225, Cnig_chr_II.g8162
OG0001796	Transcript_CBG02455.1	transcript_QX1410.10009.1, transcript_QX1410.6750.1	Transcript_D1081.5.1, Transcript_F54H5.5.1	Cnig_chr_I.g2186.1, Cnig_chr_I.g2186.2, Cnig_chr_I.g2186.3, Cnig_chr_II.g6323
OG0001797	Transcript_CBG02400.1	transcript_QX1410.10026.1, transcript_QX1410.10026.2, transcript_QX1410.10067.1, transcript_QX1410.10067.2	Transcript_F07F6.1.1	Cnig_chr_II.g6348, Cnig_chr_II.g6381.1, Cnig_chr_II.g6381.2
OG0001798	Transcript_CBG02314.1	transcript_QX1410.10144.1, transcript_QX1410.10144.2	Transcript_C24D10.1.1, Transcript_Y18H1A.1.1, Transcript_Y57G11C.6.1	Cnig_chr_II.g6466.1, Cnig_chr_II.g6466.2, Cnig_chr_II.g6466.3
OG0001799	Transcript_CBG20639.1	transcript_QX1410.10240.1, transcript_QX1410.10240.2, transcript_QX1410.10240.3, transcript_QX1410.10240.4	Transcript_F44F4.13.1	Cni-sra-11.1, Cni-sra-11.2, Cni-sra-11.3
OG0001800	Transcript_CBG20640.1, Transcript_CBG20737.1	transcript_QX1410.10241.1, transcript_QX1410.10241.2, transcript_QX1410.10293.1, transcript_QX1410.10293.2	Transcript_K03H1.1.1	Cni-C31C9.2.3, Cni-C31C9.2.4
OG0001801	Transcript_CBG20649.1	transcript_QX1410.10248.1	Transcript_F21H7.1.1, Transcript_Y1H11.1.1, Transcript_Y1H11.2.1, Transcript_ZK697.6a.1, Transcript_ZK697.6b.1	Cnig_chr_II.g6586.1, Cnig_chr_II.g6586.2
OG0001802	Transcript_CBG20681a.1	transcript_QX1410.10274.1, transcript_QX1410.10274.2, transcript_QX1410.10274.5, transcript_QX1410.10274.6	Transcript_Y51H1A.2a.1, Transcript_Y51H1A.2b.1	Cnig_chr_II.g6618.1, Cnig_chr_II.g6618.2
OG0001803	Transcript_CBG20740a.1, Transcript_CBG20740b.1	transcript_QX1410.10295.1, transcript_QX1410.10295.3	Transcript_Y39G8B.1a.1, Transcript_Y39G8B.1a.2, Transcript_Y39G8B.1b.1	Cni-Y39G8B.1.1, Cni-Y39G8B.1.2
OG0001804	Transcript_CBG20744a.1, Transcript_CBG20744b.1	transcript_QX1410.10300.1, transcript_QX1410.10300.2, transcript_QX1410.10300.3	Transcript_W07G1.3.1, Transcript_W07G1.3.2	Cnig_chr_II.g6655, Cnig_chr_II.g6657
OG0001805	Transcript_CBG14786.1, Transcript_CBG20773.1	transcript_QX1410.10325.1, transcript_QX1410.16764.1	Transcript_F45H10.2.1, Transcript_F45H10.2.2, Transcript_R07E4.3.1	Cnig_chr_II.g6683, Cnig_chr_X.g24410
OG0001806	Transcript_CBG20823.1, Transcript_CBG20824.1	transcript_QX1410.10365.1, transcript_QX1410.10365.2, transcript_QX1410.10366.1	Transcript_Y6D1A.2.1	Cnig_chr_II.g6729.1, Cnig_chr_II.g6729.2, Cnig_chr_II.g6730
OG0001807	Transcript_CBG13193.1, Transcript_CBG20877.1	transcript_QX1410.10448.1, transcript_QX1410.12673.1	Transcript_C24H11.3.1, Transcript_Y47D3A.12.1	Cnig_chr_II.g6823, Cnig_chr_II.g6943, Cnig_chr_III.g9786
OG0001808	Transcript_CBG20899.1	transcript_QX1410.10460.2, transcript_QX1410.10460.3	Transcript_Y53F4B.4a.1, Transcript_Y53F4B.4a.2, Transcript_Y53F4B.4a.3, Transcript_Y53F4B.4b.1, Transcript_Y53F4B.4c.1	Cni-nsun-5
OG0001809	Transcript_CBG20951.1	transcript_QX1410.10510.1, transcript_QX1410.10511.1	Transcript_Y57A10B.4.1, Transcript_Y57A10B.5.1	Cnig_chr_II.g6896.1, Cnig_chr_II.g6896.2, Cnig_chr_II.g6896.3, Cnig_chr_II.g6897.2
